,src_airport_code,src_airport_name,src_airport_lat,src_airport_lon,src_airport_ctry,src_airport_rgn,src_airport_sbrgn,dstn_airport_code,dstn_airport_name,dstn_airport_lat,dstn_airport_lon,dstn_airport_ctry,dstn_airport_rgn,dstn_airport_sbrgn,airline,flight_distance,flight_duration,aircraft_model_code,aircraft_model_name,capacity
0,ADD,Addis Ababa Bole International Airport,8.97778,38.7994,Ethiopia,Africa,Sub-Saharan Africa,BKK,Suvarnabhumi Airport,13.6811,100.747,Thailand,Asia,South-eastern Asia,Singapore Airlines,4196,8:53,763,Boeing 767-300,269
1,ADL,Adelaide Airport,-34.945,138.531,Australia,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,3354,7:12,333,Airbus A330-300,440
2,AKL,Auckland Airport,-37.0081,174.792,New Zealand,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,5221,10:56,77W,Boeing 777-300ER,396
3,AKL,Auckland Airport,-37.0081,174.792,New Zealand,Oceania,Australia and New Zealand,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,5221,10:56,772,Boeing 777-200,396
4,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347,India,Asia,Southern Asia,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,2581,5:39,333,Airbus A330-300,440
5,AMS,Amsterdam Airport Schiphol,52.3086,4.76389,"Netherlands, Kingdom of the",Europe,Western Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6529,13:33,772,Boeing 777-200,396
6,AMS,Amsterdam Airport Schiphol,52.3086,4.76389,"Netherlands, Kingdom of the",Europe,Western Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6529,13:33,77W,Boeing 777-300ER,396
7,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,GRU,Guarulhos International Airport,-23.4322,-46.4692,Brazil,Americas,Latin America and the Caribbean,Singapore Airlines,5443,11:23,77W,Boeing 777-300ER,396
8,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,MXP,Milan-Malpensa Airport,45.6306,8.72811,Italy,Europe,Southern Europe,Singapore Airlines,447,1:23,77W,Boeing 777-300ER,396
9,BCN,Barcelona El Prat Airport,41.2971,2.07846,Spain,Europe,Southern Europe,SIN,Singapore Changi Airport,1.35019,103.994,Singapore,Asia,South-eastern Asia,Singapore Airlines,6768,14:02,77W,Boeing 777-300ER,396
